,target,word_count,stop_word_count,url_count,mean_word_length,char_count,punctuation_count,vector
1228,1,21,4,0,5.523809523809524,136,3,[0. 0. 0. ... 0. 0. 0.]
4175,0,18,6,0,4.388888888888889,96,3,[0. 0. 0. ... 0. 0. 0.]
3365,1,20,7,1,6.0,139,9,[0. 0. 0. ... 0. 0. 0.]
3237,1,12,5,0,3.8333333333333335,57,1,[0. 0. 0. ... 0. 0. 0.]
3984,1,14,1,1,7.285714285714286,115,9,[0. 0. 0. ... 0. 0. 0.]
6291,1,11,1,1,6.2727272727272725,79,9,[0. 0. 0. ... 0. 0. 0.]
4465,1,17,6,2,6.705882352941177,130,14,[0. 0. 0. ... 0. 0. 0.]
7177,1,23,10,0,4.565217391304348,128,4,[0. 0. 0. ... 0. 0. 0.]
515,0,9,5,0,5.0,53,5,[0. 0. 0. ... 0. 0. 0.]
413,0,9,1,1,7.777777777777778,80,9,[0. 0. 0. ... 0. 0. 0.]
6711,1,17,2,1,7.0588235294117645,136,14,[0. 0. 0. ... 0. 0. 0.]
5935,0,11,6,1,5.545454545454546,71,5,[0. 0. 0. ... 0. 0. 0.]
3795,1,20,3,0,4.85,116,6,[0. 0. 0. ... 0. 0. 0.]
3769,1,14,5,1,5.857142857142857,95,9,[0. 0. 0. ... 0. 0. 0.]
595,0,15,6,1,6.133333333333334,107,6,[0. 0. 0. ... 0. 0. 0.]
6337,1,14,1,1,7.428571428571429,117,7,[0. 0. 0. ... 0. 0. 0.]
4239,1,14,4,0,7.428571428571429,117,6,[0. 0. 0. ... 0. 0. 0.]
2741,0,3,1,0,7.666666666666667,25,2,[0. 0. 0. ... 0. 0. 0.]
7126,1,17,6,1,5.941176470588236,117,5,[0. 0. 0. ... 0. 0. 0.]
3942,1,16,3,1,6.3125,116,7,[0. 0. 0. ... 0. 0. 0.]
35,0,13,5,1,4.923076923076923,76,5,[0. 0. 0. ... 0. 0. 0.]
5547,1,16,4,1,6.25,115,8,[0. 0. 0. ... 0. 0. 0.]
1981,0,17,7,2,6.529411764705882,127,13,[0. 0. 0. ... 0. 0. 0.]
1685,0,12,4,1,6.0,83,8,[0. 0. 0. ... 0. 0. 0.]
2257,1,17,3,1,7.294117647058823,140,10,[0. 0. 0. ... 0. 0. 0.]
208,0,13,6,0,4.384615384615385,69,5,[0. 0. 0. ... 0. 0. 0.]
1299,0,17,4,1,7.294117647058823,140,13,[0. 0. 0. ... 0. 0. 0.]
1140,1,15,1,2,8.0,135,16,[0. 0. 0. ... 0. 0. 0.]
3938,0,20,0,2,6.0,139,12,[0. 0. 0. ... 0. 0. 0.]
6974,0,19,4,1,6.315789473684211,138,11,[0. 0. 0. ... 0. 0. 0.]
6531,0,19,6,0,5.315789473684211,119,2,[0. 0. 0. ... 0. 0. 0.]
6009,0,23,9,0,4.260869565217392,120,6,[0. 0. 0. ... 0. 0. 0.]
7378,1,10,2,1,8.0,89,6,[0. 0. 0. ... 0. 0. 0.]
5162,1,15,5,0,5.6,98,2,[0. 0. 0. ... 0. 0. 0.]
1281,0,10,1,0,5.4,63,3,[0. 0. 0. ... 0. 0. 0.]
3020,1,21,8,1,5.619047619047619,138,8,[0. 0. 0. ... 0. 0. 0.]
771,0,5,1,0,5.4,31,0,[0. 0. 0. ... 0. 0. 0.]
2983,0,5,1,0,6.8,38,1,[0. 0. 0. ... 0. 0. 0.]
7307,1,20,4,0,5.9,139,4,[0. 0. 0. ... 0. 0. 0.]
2344,0,5,0,1,12.0,64,7,[0. 0. 0. ... 0. 0. 0.]
5309,1,16,5,1,7.5625,136,14,[0. 0. 0. ... 0. 0. 0.]
1346,1,23,11,0,4.521739130434782,126,1,[0. 0. 0. ... 0. 0. 0.]
2212,0,5,0,1,11.8,63,8,[0. 0. 0. ... 0. 0. 0.]
5229,0,9,3,1,7.555555555555555,76,6,[0. 0. 0. ... 0. 0. 0.]
7463,0,25,10,0,4.16,128,4,[0. 0. 0. ... 0. 0. 0.]
6961,0,5,1,0,6.2,35,9,[0. 0. 0. ... 0. 0. 0.]
5535,0,9,0,1,8.555555555555555,85,5,[0. 0. 0. ... 0. 0. 0.]
5507,1,15,2,2,8.2,137,11,[0. 0. 0. ... 0. 0. 0.]
2552,1,14,4,0,4.857142857142857,81,5,[0. 0. 0. ... 0. 0. 0.]
2806,0,11,1,1,9.0,109,15,[0. 0. 0. ... 0. 0. 0.]
5785,1,8,1,1,13.625,117,11,[0. 0. 0. ... 0. 0. 0.]
541,0,14,6,0,4.714285714285714,79,5,[0. 0. 0. ... 0. 0. 0.]
2526,0,24,10,0,4.083333333333333,121,5,[0. 0. 0. ... 0. 0. 0.]
4321,1,13,3,1,5.846153846153846,88,6,[0. 0. 0. ... 0. 0. 0.]
743,0,5,1,0,5.6,32,3,[0. 0. 0. ... 0. 0. 0.]
1385,1,17,4,0,6.470588235294118,127,6,[0. 0. 0. ... 0. 0. 0.]
6234,1,14,1,1,7.357142857142857,116,8,[0. 0. 0. ... 0. 0. 0.]
623,1,20,7,0,6.05,140,4,[0. 0. 0. ... 0. 0. 0.]
6981,1,25,15,0,4.52,139,7,[0. 0. 0. ... 0. 0. 0.]
4125,1,15,5,2,8.533333333333333,142,19,[0. 0. 0. ... 0. 0. 0.]
4686,0,7,1,0,6.857142857142857,54,3,[0. 0. 0. ... 0. 0. 0.]
1181,1,14,2,1,7.214285714285714,114,8,[0. 0. 0. ... 0. 0. 0.]
6571,1,18,3,2,6.888888888888889,142,15,[0. 0. 0. ... 0. 0. 0.]
1739,1,18,6,1,6.333333333333333,131,7,[0. 0. 0. ... 0. 0. 0.]
5972,0,20,11,0,3.95,98,1,[0. 0. 0. ... 0. 0. 0.]
6556,0,27,13,0,3.888888888888889,131,8,[0. 0. 0. ... 0. 0. 0.]
2738,1,16,9,0,5.0,95,1,[0. 0. 0. ... 0. 0. 0.]
5165,0,12,0,1,6.25,86,12,[0. 0. 0. ... 0. 0. 0.]
3532,0,8,1,1,6.625,61,6,[0. 0. 0. ... 0. 0. 0.]
2616,0,17,5,0,7.117647058823529,137,3,[0. 0. 0. ... 0. 0. 0.]
3660,1,14,6,1,6.357142857142857,102,5,[0. 0. 0. ... 0. 0. 0.]
3664,0,22,8,0,4.909090909090909,129,2,[0. 0. 0. ... 0. 0. 0.]
2995,1,12,0,1,9.416666666666666,124,12,[0. 0. 0. ... 0. 0. 0.]
3746,0,11,5,1,6.181818181818182,79,6,[0. 0. 0. ... 0. 0. 0.]
6520,0,17,5,1,6.941176470588236,134,8,[0. 0. 0. ... 0. 0. 0.]
5857,0,20,9,0,3.9,97,1,[0. 0. 0. ... 0. 0. 0.]
4683,1,22,9,1,5.363636363636363,139,7,[0. 0. 0. ... 0. 0. 0.]
4753,1,13,1,1,7.0,103,6,[0. 0. 0. ... 0. 0. 0.]
498,0,22,9,0,4.954545454545454,130,2,[0. 0. 0. ... 0. 0. 0.]
4769,1,21,1,2,5.666666666666667,139,16,[0. 0. 0. ... 0. 0. 0.]
1543,0,18,8,1,5.388888888888889,114,9,[0. 0. 0. ... 0. 0. 0.]
7566,0,10,1,2,8.7,96,13,[0. 0. 0. ... 0. 0. 0.]
6142,1,18,9,0,5.333333333333333,113,8,[0. 0. 0. ... 0. 0. 0.]
7319,0,14,2,0,4.642857142857143,78,2,[0. 0. 0. ... 0. 0. 0.]
5289,1,11,3,1,8.272727272727273,101,21,[0. 0. 0. ... 0. 0. 0.]
3038,1,14,2,1,6.928571428571429,110,10,[0.24950629 0.         0.         ... 0.         0.         0.        ]
3262,0,22,11,0,5.2727272727272725,137,1,[0. 0. 0. ... 0. 0. 0.]
1635,1,15,5,0,6.4,110,8,[0. 0. 0. ... 0. 0. 0.]
5703,0,16,3,1,7.125,129,8,[0. 0. 0. ... 0. 0. 0.]
1653,1,15,1,2,7.466666666666667,126,13,[0. 0. 0. ... 0. 0. 0.]
2837,1,17,4,1,7.117647058823529,139,13,[0. 0. 0. ... 0. 0. 0.]
6333,0,12,0,1,9.416666666666666,125,10,[0. 0. 0. ... 0. 0. 0.]
6111,0,9,4,1,6.333333333333333,65,5,[0. 0. 0. ... 0. 0. 0.]
1398,0,26,15,0,4.230769230769231,135,5,[0. 0. 0. ... 0. 0. 0.]
5645,0,20,5,1,6.0,139,8,[0. 0. 0. ... 0. 0. 0.]
3123,1,17,5,1,6.588235294117647,128,8,[0. 0. 0. ... 0. 0. 0.]
6000,0,11,3,0,5.636363636363637,74,6,[0. 0. 0. ... 0. 0. 0.]
5076,1,18,6,1,6.611111111111111,137,10,[0. 0. 0. ... 0. 0. 0.]
6936,0,11,5,0,4.909090909090909,64,1,[0. 0. 0. ... 0. 0. 0.]
7175,1,15,8,1,5.4,95,6,[0. 0. 0. ... 0. 0. 0.]
3687,0,11,2,1,7.909090909090909,97,5,[0. 0. 0. ... 0. 0. 0.]
1505,1,11,4,1,7.181818181818182,89,6,[0. 0. 0. ... 0. 0. 0.]
3553,0,20,7,1,6.0,139,6,[0. 0. 0. ... 0. 0. 0.]
391,1,11,2,1,6.818181818181818,85,5,[0. 0. 0. ... 0. 0. 0.]
3839,0,17,1,2,7.235294117647059,139,16,[0. 0. 0. ... 0. 0. 0.]
3096,0,17,5,0,6.0588235294117645,119,14,[0. 0. 0. ... 0. 0. 0.]
3394,0,19,7,0,5.052631578947368,114,3,[0. 0. 0. ... 0. 0. 0.]
2376,1,17,3,1,6.0588235294117645,119,10,[0. 0. 0. ... 0. 0. 0.]
2460,1,13,4,0,6.846153846153846,101,6,[0. 0. 0. ... 0. 0. 0.]
2292,0,7,3,1,7.142857142857143,56,6,[0. 0. 0. ... 0. 0. 0.]
4887,1,12,1,2,8.916666666666666,118,10,[0. 0. 0. ... 0. 0. 0.]
3919,0,19,6,0,5.947368421052632,131,8,[0. 0. 0. ... 0. 0. 0.]
1813,1,13,2,2,9.615384615384617,137,15,[0. 0. 0. ... 0. 0. 0.]
3993,1,6,1,1,8.333333333333334,55,5,[0. 0. 0. ... 0. 0. 0.]
6448,1,20,7,1,5.8,135,5,[0. 0. 0. ... 0. 0. 0.]
4473,1,25,10,0,4.64,140,1,[0. 0. 0. ... 0. 0. 0.]
3438,0,19,4,1,6.052631578947368,133,14,[0. 0. 0. ... 0. 0. 0.]
1068,0,9,3,0,6.222222222222222,64,3,[0. 0. 0. ... 0. 0. 0.]
1198,1,17,6,0,5.941176470588236,117,7,[0. 0. 0. ... 0. 0. 0.]
6787,1,17,2,1,6.411764705882353,125,11,[0. 0. 0. ... 0. 0. 0.]
4246,1,8,0,1,7.75,70,8,[0. 0. 0. ... 0. 0. 0.]
3377,0,21,10,0,5.333333333333333,132,9,[0. 0. 0. ... 0. 0. 0.]
1687,0,27,12,1,4.222222222222222,140,9,[0. 0. 0. ... 0. 0. 0.]
1938,0,22,11,0,4.090909090909091,111,3,[0. 0. 0. ... 0. 0. 0.]
2112,0,26,14,0,4.384615384615385,139,2,[0. 0. 0. ... 0. 0. 0.]
321,1,2,0,1,16.5,34,5,[0. 0. 0. ... 0. 0. 0.]
4621,0,7,1,1,7.857142857142857,61,8,[0. 0. 0. ... 0. 0. 0.]
5487,0,17,3,1,7.0588235294117645,136,10,[0. 0. 0. ... 0. 0. 0.]
4995,0,19,3,1,6.157894736842105,135,15,[0. 0. 0. ... 0. 0. 0.]
678,0,8,0,1,8.625,76,8,[0. 0. 0. ... 0. 0. 0.]
4452,1,18,3,1,6.777777777777778,139,7,[0. 0. 0. ... 0. 0. 0.]
6776,1,13,3,1,6.846153846153846,101,8,[0. 0. 0. ... 0. 0. 0.]
6281,1,11,1,1,8.272727272727273,101,8,[0. 0. 0. ... 0. 0. 0.]
7467,0,22,10,0,4.636363636363637,123,2,[0. 0. 0. ... 0. 0. 0.]
5750,0,20,9,1,5.8,135,12,[0. 0. 0. ... 0. 0. 0.]
4356,0,14,1,2,8.214285714285714,128,12,[0. 0. 0. ... 0. 0. 0.]
2557,0,13,6,0,4.6923076923076925,73,2,[0. 0. 0. ... 0. 0. 0.]
5655,0,12,1,2,8.5,113,15,[0. 0. 0. ... 0. 0. 0.]
4162,0,7,3,1,7.285714285714286,58,7,[0. 0. 0. ... 0. 0. 0.]
6052,1,8,1,1,8.25,73,5,[0. 0. 0. ... 0. 0. 0.]
6877,0,14,5,0,4.285714285714286,73,0,[0. 0. 0. ... 0. 0. 0.]
1616,0,13,2,1,7.769230769230769,113,9,[0. 0. 0. ... 0. 0. 0.]
1099,1,22,7,1,5.227272727272728,136,9,[0. 0. 0. ... 0. 0. 0.]
7144,1,25,10,0,4.6,139,3,[0. 0. 0. ... 0. 0. 0.]
590,1,17,6,1,6.647058823529412,129,10,[0. 0. 0. ... 0. 0. 0.]
1681,0,16,5,1,6.875,125,10,[0. 0. 0. ... 0. 0. 0.]
6617,1,6,1,0,8.0,53,2,[0. 0. 0. ... 0. 0. 0.]
6949,0,12,4,0,4.833333333333333,69,5,[0. 0. 0. ... 0. 0. 0.]
4927,0,14,7,1,5.142857142857143,85,7,[0. 0. 0. ... 0. 0. 0.]
7276,0,18,2,2,7.0,147,28,[0. 0. 0. ... 0. 0. 0.]
557,0,21,7,1,5.619047619047619,138,9,[0. 0. 0. ... 0. 0. 0.]
1758,1,10,0,1,7.0,79,11,[0. 0. 0. ... 0. 0. 0.]
1990,1,11,3,0,4.545454545454546,61,2,[0. 0. 0. ... 0. 0. 0.]
3878,0,17,9,0,4.588235294117647,94,2,[0. 0. 0. ... 0. 0. 0.]
3236,0,18,1,1,6.888888888888889,141,15,[0. 0. 0. ... 0. 0. 0.]
2273,0,10,2,1,9.1,101,11,[0. 0. 0. ... 0. 0. 0.]
2507,1,11,2,1,6.2727272727272725,79,8,[0. 0. 0. ... 0. 0. 0.]
4396,0,16,2,1,6.4375,119,11,[0. 0. 0. ... 0. 0. 0.]
3567,1,20,8,0,6.05,140,6,[0. 0. 0. ... 0. 0. 0.]
5647,1,24,10,0,4.875,140,6,[0. 0. 0. ... 0. 0. 0.]
5839,0,14,8,1,5.0,83,7,[0. 0. 0. ... 0. 0. 0.]
4742,1,9,0,0,7.444444444444445,75,4,[0. 0. 0. ... 0. 0. 0.]
3541,1,9,0,1,8.777777777777779,87,10,[0. 0. 0. ... 0. 0. 0.]
6780,0,5,1,1,11.0,59,20,[0. 0. 0. ... 0. 0. 0.]
70,0,18,7,1,6.222222222222222,129,11,[0. 0. 0. ... 0. 0. 0.]
7330,0,21,8,1,5.714285714285714,140,11,[0. 0. 0. ... 0. 0. 0.]
2916,0,13,3,1,6.538461538461538,97,9,[0. 0. 0. ... 0. 0. 0.]
3623,1,24,10,0,4.708333333333333,136,2,[0. 0. 0. ... 0. 0. 0.]
4077,1,24,5,1,4.875,140,10,[0. 0. 0. ... 0. 0. 0.]
581,1,17,3,1,7.0588235294117645,136,9,[0. 0. 0. ... 0. 0. 0.]
5189,0,18,7,0,4.888888888888889,106,4,[0. 0. 0. ... 0. 0. 0.]
3383,0,19,8,0,4.947368421052632,112,0,[0. 0. 0. ... 0. 0. 0.]
7337,1,15,6,1,4.666666666666667,84,10,[0. 0. 0. ... 0. 0. 0.]
1331,0,11,3,0,6.727272727272728,84,14,[0. 0. 0. ... 0. 0. 0.]
4009,1,21,2,1,5.476190476190476,135,10,[0. 0. 0. ... 0. 0. 0.]
3855,0,11,0,2,10.272727272727272,124,15,[0. 0. 0. ... 0. 0. 0.]
7238,1,6,0,0,7.0,47,1,[0. 0. 0. ... 0. 0. 0.]
4288,0,21,9,0,4.761904761904762,120,3,[0. 0. 0. ... 0. 0. 0.]
1243,1,18,7,0,4.666666666666667,101,6,[0. 0. 0. ... 0. 0. 0.]
6136,0,15,1,2,7.666666666666667,129,12,[0. 0. 0. ... 0. 0. 0.]
4527,1,18,2,1,6.666666666666667,139,9,[0. 0. 0. ... 0. 0. 0.]
2632,0,16,9,0,4.3125,84,3,[0. 0. 0. ... 0. 0. 0.]
7147,0,7,1,1,8.714285714285714,67,5,[0. 0. 0. ... 0. 0. 0.]
4942,0,21,5,1,5.476190476190476,135,8,[0. 0. 0. ... 0. 0. 0.]
6572,1,6,1,1,9.0,59,5,[0. 0. 0. ... 0. 0. 0.]
4143,1,20,7,1,5.85,136,13,[0. 0. 0. ... 0. 0. 0.]
5494,0,21,10,0,3.761904761904762,99,2,[0. 0. 0. ... 0. 0. 0.]
4793,0,24,11,0,4.791666666666667,138,6,[0. 0. 0. ... 0. 0. 0.]
5284,1,15,2,1,7.0,119,7,[0. 0. 0. ... 0. 0. 0.]
6759,1,21,12,1,5.571428571428571,137,9,[0. 0. 0. ... 0. 0. 0.]
6492,0,7,4,0,5.428571428571429,44,3,[0. 0. 0. ... 0. 0. 0.]
1977,0,9,3,1,6.888888888888889,71,6,[0. 0. 0. ... 0. 0. 0.]
2299,1,20,8,0,4.95,118,2,[0. 0. 0. ... 0. 0. 0.]
2313,0,20,9,1,5.95,138,11,[0. 0. 0. ... 0. 0. 0.]
953,0,18,0,2,6.777777777777778,139,12,[0. 0. 0. ... 0. 0. 0.]
4687,1,15,0,1,7.266666666666667,124,12,[0. 0. 0. ... 0. 0. 0.]
4103,0,4,1,0,6.5,29,2,[0. 0. 0. ... 0. 0. 0.]
375,1,22,9,0,4.409090909090909,118,2,[0. 0. 0. ... 0. 0. 0.]
7430,1,14,2,1,6.571428571428571,105,9,[0. 0. 0. ... 0. 0. 0.]
4110,1,22,7,1,5.318181818181818,138,12,[0. 0. 0. ... 0. 0. 0.]
6355,1,23,6,0,4.869565217391305,134,8,[0. 0. 0. ... 0. 0. 0.]
6058,1,11,1,1,7.454545454545454,92,6,[0. 0. 0. ... 0. 0. 0.]
3137,0,2,0,0,8.0,17,0,[0. 0. 0. ... 0. 0. 0.]
6960,1,15,6,1,7.0,119,10,[0. 0. 0. ... 0. 0. 0.]
148,1,13,3,0,6.384615384615385,95,6,[0. 0. 0. ... 0. 0. 0.]
2053,0,23,13,0,4.043478260869565,115,3,[0. 0. 0. ... 0. 0. 0.]
5889,1,14,8,1,5.571428571428571,91,5,[0. 0. 0. ... 0. 0. 0.]
88,1,25,6,0,4.16,128,3,[0. 0. 0. ... 0. 0. 0.]
2915,1,23,8,0,5.0,137,4,[0. 0. 0. ... 0. 0. 0.]
5837,0,13,4,1,6.384615384615385,95,10,[0. 0. 0. ... 0. 0. 0.]
4494,1,13,0,3,9.307692307692308,134,20,[0. 0. 0. ... 0. 0. 0.]
7009,0,7,3,0,4.0,34,0,[0. 0. 0. ... 0. 0. 0.]
5311,1,13,3,1,6.615384615384615,98,7,[0. 0. 0. ... 0. 0. 0.]
4650,0,21,11,0,4.333333333333333,111,5,[0. 0. 0. ... 0. 0. 0.]
3028,1,14,1,1,7.0,111,10,[0. 0. 0. ... 0. 0. 0.]
3686,0,3,0,0,7.666666666666667,25,4,[0. 0. 0. ... 0. 0. 0.]
1574,0,23,15,0,4.0,114,3,[0. 0. 0. ... 0. 0. 0.]
4138,0,17,0,1,6.941176470588236,134,9,[0. 0. 0. ... 0. 0. 0.]
1018,1,17,6,0,5.176470588235294,104,3,[0. 0. 0. ... 0. 0. 0.]
1686,1,9,4,0,5.222222222222222,55,7,[0. 0. 0. ... 0. 0. 0.]
2936,0,7,2,0,4.571428571428571,38,1,[0. 0. 0. ... 0. 0. 0.]
6866,1,13,1,1,9.76923076923077,140,11,[0. 0. 0. ... 0. 0. 0.]
5807,0,8,1,1,13.625,117,11,[0. 0. 0. ... 0. 0. 0.]
7092,0,21,7,0,5.571428571428571,137,3,[0. 0. 0. ... 0. 0. 0.]
1116,1,15,6,1,6.066666666666666,105,9,[0. 0. 0. ... 0. 0. 0.]
4690,0,23,7,0,5.043478260869565,138,4,[0. 0. 0. ... 0. 0. 0.]
3523,1,13,5,1,6.230769230769231,93,7,[0. 0. 0. ... 0. 0. 0.]
457,1,9,2,1,8.0,80,5,[0. 0. 0. ... 0. 0. 0.]
475,1,24,11,0,4.333333333333333,127,5,[0. 0. 0. ... 0. 0. 0.]
4764,0,20,10,0,4.4,107,5,[0. 0. 0. ... 0. 0. 0.]
1820,0,11,4,0,4.636363636363637,61,2,[0. 0. 0. ... 0. 0. 0.]
719,1,15,10,0,3.6,68,1,[0. 0. 0. ... 0. 0. 0.]
7199,0,19,0,0,4.421052631578948,106,12,[0. 0. 0. ... 0. 0. 0.]
2312,0,10,4,0,4.4,53,1,[0. 0. 0. ... 0. 0. 0.]
4155,0,19,9,1,6.0,132,8,[0. 0. 0. ... 0. 0. 0.]
6499,0,14,1,1,6.642857142857143,106,12,[0. 0. 0. ... 0. 0. 0.]
3872,1,20,5,1,5.8,135,9,[0. 0. 0. ... 0. 0. 0.]
3336,1,18,1,1,6.611111111111111,136,7,[0. 0. 0. ... 0. 0. 0.]
7046,1,13,1,1,8.384615384615385,121,8,[0. 0. 0. ... 0. 0. 0.]
5971,0,11,5,0,5.727272727272728,73,8,[0. 0. 0. ... 0. 0. 0.]
294,1,15,5,1,6.133333333333334,106,10,[0. 0. 0. ... 0. 0. 0.]
7449,0,25,14,0,4.52,137,2,[0. 0. 0. ... 0. 0. 0.]
3468,0,16,1,2,7.75,139,13,[0. 0. 0. ... 0. 0. 0.]
5016,0,12,4,0,4.833333333333333,69,12,[0. 0. 0. ... 0. 0. 0.]
3912,1,12,1,1,6.083333333333333,85,8,[0. 0. 0. ... 0. 0. 0.]
1254,1,17,3,1,6.470588235294118,127,9,[0. 0. 0. ... 0. 0. 0.]
6683,0,12,1,1,7.583333333333333,102,7,[0. 0. 0. ... 0. 0. 0.]
958,0,17,1,2,6.882352941176471,133,11,[0. 0. 0. ... 0. 0. 0.]
2064,0,14,5,0,3.857142857142857,68,0,[0. 0. 0. ... 0. 0. 0.]
6429,1,13,6,0,6.461538461538462,96,6,[0. 0. 0. ... 0. 0. 0.]
592,1,14,4,1,6.071428571428571,98,5,[0. 0. 0. ... 0. 0. 0.]
5123,0,21,8,1,5.666666666666667,140,7,[0. 0. 0. ... 0. 0. 0.]
1354,0,21,7,0,5.666666666666667,139,2,[0. 0. 0. ... 0. 0. 0.]
248,0,12,1,2,9.333333333333334,123,10,[0. 0. 0. ... 0. 0. 0.]
4532,1,19,5,1,6.2105263157894735,136,9,[0. 0. 0. ... 0. 0. 0.]
2009,1,15,5,2,7.466666666666667,126,12,[0. 0. 0. ... 0. 0. 0.]
7283,0,3,1,0,5.333333333333333,18,0,[0. 0. 0. ... 0. 0. 0.]
3782,1,11,1,0,5.181818181818182,67,9,[0. 0. 0. ... 0. 0. 0.]
1529,1,13,2,1,7.461538461538462,109,9,[0. 0. 0. ... 0. 0. 0.]
5314,1,18,7,1,6.611111111111111,136,10,[0. 0. 0. ... 0. 0. 0.]
4783,1,24,9,0,4.708333333333333,136,13,[0. 0. 0. ... 0. 0. 0.]
6580,0,23,10,0,4.3478260869565215,122,2,[0. 0. 0. ... 0. 0. 0.]
2729,0,19,6,1,6.052631578947368,133,12,[0. 0. 0. ... 0. 0. 0.]
209,0,17,7,0,5.0,101,2,[0. 0. 0. ... 0. 0. 0.]
5174,0,14,7,0,4.928571428571429,82,1,[0. 0. 0. ... 0. 0. 0.]
6869,0,25,16,0,4.0,124,4,[0. 0. 0. ... 0. 0. 0.]
7268,1,8,2,1,8.125,72,7,[0. 0. 0. ... 0. 0. 0.]
3767,0,15,6,0,4.2,77,1,[0. 0. 0. ... 0. 0. 0.]
862,0,5,1,0,10.0,54,4,[0. 0. 0. ... 0. 0. 0.]
7294,1,13,1,1,7.3076923076923075,108,6,[0. 0. 0. ... 0. 0. 0.]
4156,0,24,12,1,4.791666666666667,138,8,[0. 0. 0. ... 0. 0. 0.]
2307,0,15,7,0,4.333333333333333,79,3,[0. 0. 0. ... 0. 0. 0.]
